project,file,verified_models,nonverified_models,min_success_tokens,max_nonverified_tokens,token_gap,outcomes
OS,OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs,2,2,276684,1140213,863529,claude:VERIFIED:276684; claude-s4:VERIFIED:800995; gpt5:FAILED:409593; o4mini:FAILED:1140213
NR,NR__impl_u__os_refinement__unmap_vaddr_set_le_extra_mappings_dom.rs,3,1,217558,1074378,856820,claude:VERIFIED:446988; claude-s4:VERIFIED:1012779; gpt5:VERIFIED:217558; o4mini:FAILED:1074378
OS,OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state_and_set_trap_frame.rs,1,3,335682,1129593,793911,claude:VERIFIED:335682; claude-s4:FAILED:1129593; gpt5:FAILED:299721; o4mini:FAILED:876757
NR,NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged.rs,1,3,113715,883745,770030,claude:FAILED:883745; claude-s4:VERIFIED:113715; gpt5:FAILED:160270; o4mini:FAILED:532594
OS,OS__kernel__create_and_map_pages__impl0__range_alloc_and_map_io.rs,2,2,145438,887566,742128,claude:VERIFIED:145438; claude-s4:VERIFIED:652422; gpt5:FAILED:299369; o4mini:FAILED:887566
NR,NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap.rs,2,2,291944,1033446,741502,claude:FAILED:1033446; claude-s4:VERIFIED:420264; gpt5:VERIFIED:291944; o4mini:FAILED:547498
NR,NR__spec_t__mmu__rl2__next_step_preserves_wf.rs,2,2,61097,792490,731393,claude:VERIFIED:61097; claude-s4:VERIFIED:61777; gpt5:FAILED:180741; o4mini:FAILED:792490
ST,ST__pmemutil_L_single_write_crash_effect_on_pm_regions_view.rs,3,1,37385,766361,728976,claude:VERIFIED:37385; claude-s4:FAILED:766361; gpt5:VERIFIED:46067; o4mini:VERIFIED:83725
AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,1,3,1309059,2034373,725314,claude:VERIFIED:1309059; claude-s4:FAILED:2034373; gpt5:FAILED:633681; o4mini:FAILED:1064123
NR,NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings.rs,3,1,218462,942818,724356,claude:VERIFIED:318161; claude-s4:VERIFIED:417941; gpt5:VERIFIED:218462; o4mini:FAILED:942818
NR,NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove.rs,1,3,63415,779806,716391,claude:FAILED:722328; claude-s4:FAILED:779806; gpt5:VERIFIED:63415; o4mini:FAILED:352685
OS,OS__process_manager__container_tree__remove_container_preserve_tree_inv_6.rs,3,1,67834,780642,712808,claude:FAILED:780642; claude-s4:VERIFIED:67834; gpt5:VERIFIED:80157; o4mini:VERIFIED:210264
AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,1,3,1511301,2222193,710892,claude:VERIFIED:1511301; claude-s4:FAILED:2222193; gpt5:FAILED:466050; o4mini:FAILED:1087943
AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n.rs,1,3,109386,811800,702414,claude:FAILED:811800; claude-s4:FAILED:710528; gpt5:VERIFIED:109386; o4mini:FAILED:405926
OS,OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2.rs,2,2,147056,835557,688501,claude:VERIFIED:263919; claude-s4:FAILED:835557; gpt5:VERIFIED:147056; o4mini:FAILED:545160
NR,NR__spec_t__os_invariant__next_step_preserves_inv_impl.rs,2,2,323284,997118,673834,claude:VERIFIED:687454; claude-s4:VERIFIED:323284; gpt5:FAILED:338135; o4mini:FAILED:997118
OS,OS__process_manager__container_tree__new_container_preserve_tree_inv_5.rs,1,3,35671,703656,667985,claude:FAILED:703656; claude-s4:VERIFIED:35671; gpt5:FAILED:126753; o4mini:FAILED:99886
AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete.rs,2,2,115577,765757,650180,claude:VERIFIED:292921; claude-s4:FAILED:765757; gpt5:VERIFIED:115577; o4mini:FAILED:383088
OS,OS__process_manager__impl_base__impl0__block_running_thread_and_set_trap_frame.rs,3,1,199698,835133,635435,claude:VERIFIED:662680; claude-s4:VERIFIED:673709; gpt5:VERIFIED:199698; o4mini:FAILED:835133
NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__pending_map_is_base_walk.rs,3,1,87829,717711,629882,claude:VERIFIED:87829; claude-s4:VERIFIED:554321; gpt5:VERIFIED:199746; o4mini:FAILED:717711
NR,NR__spec_t__mmu__rl2__lemma_mem_view_after_step_write.rs,1,3,65164,693545,628381,claude:FAILED:693545; claude-s4:FAILED:673394; gpt5:VERIFIED:65164; o4mini:FAILED:488310
ST,ST__inv_L_updating_inactive_metadata_maintains_invariants.rs,1,3,313204,933944,620740,claude:FAILED:781278; claude-s4:FAILED:933944; gpt5:VERIFIED:313204; o4mini:FAILED:363368
ST,ST__inv_L_active_metadata_types_equal_implies_metadata_types_set.rs,1,3,117787,715186,597399,claude:FAILED:696729; claude-s4:FAILED:715186; gpt5:VERIFIED:117787; o4mini:FAILED:454289
MA,MA__bin_sizes__idx_in_range_has_bin_size.rs,2,2,87276,676112,588836,claude:VERIFIED:348756; claude-s4:FAILED:676112; gpt5:VERIFIED:87276; o4mini:FAILED:431997
ST,ST__inv_L_header_bytes_equal_implies_active_metadata_bytes_equal.rs,2,2,65926,654016,588090,claude:VERIFIED:255694; claude-s4:FAILED:654016; gpt5:VERIFIED:65926; o4mini:FAILED:423369
OS,OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs,2,2,204651,788285,583634,claude:VERIFIED:204651; claude-s4:VERIFIED:359178; gpt5:FAILED:280131; o4mini:FAILED:788285
ST,ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len.rs,1,3,52322,633406,581084,claude:FAILED:633406; claude-s4:VERIFIED:52322; gpt5:FAILED:125918; o4mini:FAILED:201499
NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os.rs,2,2,81078,655309,574231,claude:VERIFIED:81078; claude-s4:VERIFIED:169435; gpt5:FAILED:294809; o4mini:FAILED:655309
ST,ST__inv_L_active_metadata_set_after_crash.rs,1,3,342789,915395,572606,claude:VERIFIED:342789; claude-s4:FAILED:915395; gpt5:FAILED:154169; o4mini:FAILED:462543
OS,OS__kernel__mem_util__impl0__get_address_space_va_range_none.rs,3,1,199892,770522,570630,claude:VERIFIED:201602; claude-s4:VERIFIED:199892; gpt5:FAILED:770522; o4mini:VERIFIED:805935
OS,OS__process_manager__process_tree__new_proc_preserve_tree_inv_2.rs,3,1,70422,639366,568944,claude:VERIFIED:70422; claude-s4:VERIFIED:485589; gpt5:VERIFIED:224627; o4mini:FAILED:639366
OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,1,3,657412,1223176,565764,claude:VERIFIED:657412; claude-s4:FAILED:1223176; gpt5:FAILED:214044; o4mini:FAILED:765730
ST,ST__inv_L_metadata_consistent_with_info_after_cdb_update.rs,1,3,103273,660068,556795,claude:FAILED:660068; claude-s4:FAILED:558506; gpt5:VERIFIED:103273; o4mini:FAILED:329405
NR,NR__spec_t__mmu__rl2__init_implies_inv.rs,3,1,40170,593054,552884,claude:VERIFIED:40556; claude-s4:VERIFIED:40170; gpt5:VERIFIED:79874; o4mini:FAILED:593054
AC,AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition.rs,2,2,103406,645746,542340,claude:VERIFIED:289372; claude-s4:FAILED:645746; gpt5:VERIFIED:103406; o4mini:FAILED:340415
AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,1,3,1514991,2056352,541361,claude:VERIFIED:1514991; claude-s4:FAILED:2056352; gpt5:FAILED:296184; o4mini:FAILED:1450694
NR,NR__spec_t__mmu__pt_mem__impl0__lemma_pt_walk_agrees_in_frame.rs,1,3,118965,656159,537194,claude:FAILED:271841; claude-s4:FAILED:656159; gpt5:VERIFIED:118965; o4mini:FAILED:397666
OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,1,3,124857,655246,530389,claude:FAILED:365876; claude-s4:VERIFIED:124857; gpt5:FAILED:174431; o4mini:FAILED:655246
AL,AL__tla_forall_leads_to_equality1.rs,2,2,40970,549437,508467,claude:FAILED:549437; claude-s4:VERIFIED:64454; gpt5:VERIFIED:40970; o4mini:FAILED:286914
OS,OS__process_manager__process_tree__proc_tree_wf_imply_root_is_in_upper_tree.rs,3,1,7642,515061,507419,claude:VERIFIED:7642; claude-s4:VERIFIED:48624; gpt5:VERIFIED:123150; o4mini:FAILED:515061
OS,OS__process_manager__container_tree__remove_container_preserve_tree_inv_2.rs,3,1,123339,623543,500204,claude:VERIFIED:416439; claude-s4:FAILED:623543; gpt5:VERIFIED:123339; o4mini:VERIFIED:280795
