threshold,verified_traces,nonverified_traces,gated_nonverified,gated_nonverified_rate,verified_false_stops,verified_false_stop_rate,saved_nonverified_tokens,saved_verified_tokens_if_bad,nonverified_total_tokens,saved_nonverified_token_rate
2,1691,1305,1305,1.0,761,0.45,1212510484,115117795,1337870858,0.9063
3,1691,1305,1299,0.9954,424,0.2507,1076004993,74835434,1337870858,0.8043
4,1691,1305,1286,0.9854,267,0.1579,923447476,48938720,1337870858,0.6902
5,1691,1305,1252,0.9594,178,0.1053,776366321,31853575,1337870858,0.5803
6,1691,1305,1198,0.918,119,0.0704,647707759,20495877,1337870858,0.4841
8,1691,1305,969,0.7425,51,0.0302,424591160,10156729,1337870858,0.3174
