model,project,status,prompt_count,mean_bytes,median_bytes,p90_bytes,p99_bytes,over_100k,over_200k
o4mini,NO,VERIFIED,151,7866.5,6258,14871,36151,0,0
o4mini,NR,FAILED,2053,43328.9,26423,130329,149024,326,0
o4mini,NR,TIMEOUT,1897,75737.3,81061,130457,159807,622,5
o4mini,NR,VERIFIED,512,20753.4,12396,43761,127910,13,0
o4mini,OS,FAILED,2017,51783.6,47944,109808,145291,251,0
o4mini,OS,TIMEOUT,552,58136.2,50742,130714,150163,90,1
o4mini,OS,VERIFIED,405,45638.6,31651,104525,138578,48,0
o4mini,ST,FAILED,552,30801.8,27993,50937,62115,0,0
o4mini,ST,TIMEOUT,335,24797.3,22290,43984,56940,0,0
o4mini,ST,VERIFIED,193,17593.1,15307,30630,49795,0,0
o4mini,VE,FAILED,250,12302.3,9632,22462,41595,0,0
o4mini,VE,TIMEOUT,27,11387.1,10476,20095,36010,0,0
o4mini,VE,VERIFIED,114,8246.7,6645,12463,40684,0,0
